== Computing Ramchandran numbers ==
Using Parameters:
	INITIAL_ALPHA: 5
	MAX_INITIAL_DEPTH: 4
	ALPHA: 20
	MAX_TRIES: 150

AUTHOR                                 RAMCHANDRAN NUMBER
Ronan Collobert                        5
Vittorio Ferrari                       5
Mohamed Cheriet                        5
Giorgio Metta                          5
Stefano Ferretti                       5
Albert Ali Salah                       5
Jukka Manner                           5
Basant Kumar Mohanty                   5
Pasi Sarolahti                         5
Chi Ho Chan                            5
Steve Wilton                           5
David Windridge                        5
Antonio Loureiro                       5
Roberto Paredes                        5
Sidharth Chhabra                       5
Bernadette Dorizzi                     5
Vincent Gaudet                         5
Juan Manuel Gonzalez Nieto             5
Massimo Tistarelli                     5
J Coleman                              5
Katalin Gyarmati                       5
Fernando Alonso-Fernandez              5
Alfred Hero                            5
Wagner Meira, Jr.                      5
Shankarachary Ragi                     5
Julian Fierrez                         5
Thomas Schierl                         5
Josef Sivic                            5
Flavio Vinicius Diniz De Figueiredo    5
Dirk Kutscher                          5
Andreas Argyriou                       5
Wei Lee Woon                           5
Fabio Roli                             5
Barbara Caputo                         5
Prof. Gananath Dash                    5
Giulio Sandini                         5
Muhammad Reza Z'Aba                    5
Varun Singh                            5
Hamed Haddadi                          5
Marisa Vasconcelos                     5
Naveen Kr. Sharma                      5
Simon De Lusignan                      5
Andrew Clark                           5
Marco Fornoni                          5
Teo Sui Guan                           5
Robert D Mcleod                        5
Kenneth C. Smith                       5
Pasi Lassila                           5
Colin Perkins                          5
Indrajit Ray                           5
Ricardo Baeza-Yates                    5
Lars Wolf                              5
Brendan Frey                           5
William Zhu                            5
Carlos Alessandro Sena De Freitas      5
Tatiana Tommasi                        5
Giuseppe Baselli                       5
Mark Horowitz                          5
N. Asokan                              5
Jiri Matas                             5
John Kelsey                            5
Usunier Nicolas                        5
Gentile Claudio                        5
Vitomir Struc                          5
Vadim Smolyakov                        5
Erik Demaine                           6
Mehdi Kiani                            6
Tatiana Pontes                         6
Shai Ben-David                         6
Sos Agaian (Agayan)                    6
Dr. Pranab Kishor Mohapatra            6
Marc Dacier                            6
Jonathan Sebat                         6
Leonardo Chaves Dutra Da Rocha         6
Cl Philip Chen                         6
Ruslan Salakhutdinov                   6
Xueyuan Zhou                           6
Kapali Viswanathan                     6
Boaz Nadler                            6
Douglas Stebila                        6
Alan Tickle                            6
Malcolm Corney                         6
Amarendra Narayan Misra                6
Mark Crovella                          6
Olivier Thonnard                       6
Greg Shakhnarovich                     6
Pradeep Ravikumar                      6
Daniel Hasan Dalip                     6
Yue (Rex) Wu                           6
Avrim Blum                             6
Javad Azimi                            6
Andrew Marrington                      6
Konstantin Makarychev                  6
Ambuj Tewari                           6
Colin Boyd                             6
Yury Makarychev                        6
Ohad Shamir                            6
Ali Jalali                             6
David Love                             6
Nishchal Kush                          6
Corrado Leita                          6
Xiaoli Fern                            6
Bud Mishra                             6
Wenbing Tao                            6
Irfan Ahmed                            6
Benjamin Recht                         6
Chi-Man Pun                            6
Daniel Hsu                             6
Jason Rennie                           6
Karen Panetta                          6
Anthony J Maeder                       7
Eliza Yingzi Du                        7
Viswanath Nagarajan                    7
Jason A. Dowling                       7
Howard Karloff                         7
Mo M Jamshidi                          7
Niv Buchbinder                         7
Yuval Rabani                           7
Hani H. Saleh                          7
Moses Charikar                         7
Kenny Paterson                         7
Valencia Joyner Koomson                7
Nikhil Bansal                          7
Roy Schwartz                           7
At Chronopoulos                        7
Percy Liang                            7
Nikhil R. Devanur                      7
Andrei Romashchenko                    7
Giovanni Comarela                      7
Jinbo Xu                               7
Pauli Kuosmanen                        7
Reiner Creutzburg                      7
Arnab Bhattacharyya                    7
David Akopian                          7
Andrew P. Bradley                      7
Ed Dawson                              7
Maxim Sviridenko                       7
Gregory White                          7
Sivan Sabato                           7
Kim-Kwang Raymond Choo                 7
Alexander Shen                         7
Joseph Seffi Naor                      7
Grigory Yaroslavtsev                   7
Igor Aizenberg                         7
Mikhail Belkin                         7
Nicholas Navin                         7
Craig Costello                         7
Anish Mathuria                         7
Saharon Rosset                         7
Tracy Kimbrel                          7
M Choudary Gorantla                    7
Evandro Lt Paradela Cunha              7
Willy Susilo                           7
Rohit Khandekar                        7
Anand Louis                            7
Artyom Grigoryan                       7
Amol Ghoting                           7
Christopher Blake Smith                7
Maria-Florina Balcan                   7
Debmalya Panigrahi                     7
Sherman Sm Chow                        7
Dr. Roslan Ismail, Ctal - Tm, Ctfl     7
Ethan Danahy                           7
Ian H. Witten                          7
Mark Manulis                           7
Aravindan Vijayaraghavan               7
Rachel Ward                            7
Sam Roweis (Memorial)                  7
Gregory D. Peterson                    7
Hussain Nyeem                          7
Fidel Santamaria                       7
Nasser M Nasrabadi                     7
Leonid A. Levin                        8
Peter Gacs                             8
Deanna Needell                         8
Giovanni Gallo                         8
Elad Hazan                             8
Joel A. Tropp                          8
Bruno Bauwens                          8
Andrew Sundstrom                       8
Chee Yap                               8
Richard Cole                           8
Alberto Policriti                      8
Tsz Hon Yuen                           8
Prahladh Harsha                        8
Vezzi Francesco                        8
Alexey Chernov                         8
David Dill                             8
James Gimzewski                        8
Giuseppe Narzisi                       8
Rohit Parikh                           8
Ilan Newman                            8
Katalin Friedl                         8
Ilya Razenshteyn                       8
Owen White                             8
Philip Dawid                           8
Scott Powers                           8
Virginia Smith                         9
Christos Delivorias                    9
Michael I. Jordan                      9
Selin Damla Ahipasaoglu                9
Martin Jaggi                           9
Satyaranjan Pattanaik                  9
Marius Zimand                          9
Qiong Huang                            9
Daniel Sevcovic                        9
Man Ho Au                              9
Georges Otte                           9
Willem Waegeman                        9
Ngai-Man Cheung                        9
Duncan S. Wong                         9
Yi Mu                                  9
Yurii Nesterov                         9
Olivier Fercoq                         9
Huaxiong Wang                          10
Paulo Mateus                           10
Francisco Mota                         10
Kan Yang                               10
Jason Xue                              10
Lance Fortnow                          10
Kui Ren                                10
Yan Wang                               10
Joonsang Baek                          10
Fangguo Zhang                          10
Xiaohua Jia                            10
Nikos Mamoulis                         10
Guilin Wang                            10
Kwangjo Kim                            10
Xiaofeng Chen                          10
Liusheng Huang                         10
Qing Li                                10
Paul Vitanyi                           10
Aleksandr Aravkin                      11
Ebru Arisoy                            11
Andrew Rosenberg                       11
Peder A Olsen                          11
Lidia Mangu                            11
Abhinav Sethy                          11
Dimitri Kanevsky                       11
George E. Dahl                         11
Geoffrey Hinton                        11
Ganapathy Sriram                       11
Navdeep Jaitly                         11
Andre Gustavo Adami                    11
Owen Rambow                            11
Sarmad Hussain                         12
Mitchel Weintraub                      12
Steven Wegmann                         12
David Moore                            12
Jkudupa                                12
John Aston                             12
Florian Metze                          12
Bettina Braun                          12
Margaret Renwick                       12
James Scobbie                          12
Jan Van Santen                         12
Arun Narayanan                         12
Mirjam Wester                          12
John C Marshall                        12
Preethi Raghavan                       12
Yi Ma                                  12
Andrew Nevins                          12
Laura Dilley                           12
Murat Saraclar                         12
Sylvia Rueda                           12
John Local                             12
Steven Bird                            12
Deliang Wang                           12
Michael White                          12
Lou Burnard                            12
Colin Cotter                           12
Sungbok Lee                            12
Jane Stuart-Smith                      12
Adrian Mackenzie                       12
William Hartmann                       12
Christopher Alvey                      12
Mark Liberman                          12
Bo Wu                                  13
Pavel Pecina                           13
Jiangye Yuan                           13
Michael Arbib                          13
Jesper Boldt                           13
Bonnie Dorr                            13
John Woodruff                          13
John C. Henderson                      13
Dongwon Lee                            13
Christoph Von Der Malsburg             13
Lori Lamel - Old                       13
Janet B. Pierrehumbert                 13
Michael Syskind Pedersen               13
Franciska De Jong                      13
Richard M. Stern                       13
Arni Kristjansson                      13
Andrew Mackinlay                       13
James R. Curran                        13
Steve Cassidy                          13
Jason Baldridge                        13
Paul Cook                              13
Wenwu Wang                             13
Donald C Wunsch Ii                     13
Roseli Aparecida Francelin Romero      13
Marcello Federico                      13
Jon P Barker                           13
Mate Matolcsi                          13
Kun Han                                13
Timothy Baldwin                        13
Robert Dale                            13
Oliver Stegen                          13
David Day                              13
Anuj Srivastava                        13
Christian Mauduit                      13
Hans Uszkoreit                         13
J.-S. Roger Jang                       13
Sarah E Yoho                           13
Jorma Laaksonen                        14
Laurent Romary                         14
Stephen Pulman                         14
Unto K. Laine                          14
Junichi Tsujii                         14
Ulpu Remes                             14
Geert-Jan Kruijff                      14
Guy Brown                              14
Vesa Siivola                           14
Mikko Kurimo                           14
Kyunghyun Cho                          14
Valia Kordoni                          14
Bernt Schiele                          14
Georg Rehm                             14
Silvia Hansen-Schirra                  14
Ville Pulkki                           14
Meike Klettke                          14
Annie Zaenen                           14
Toni Heittola                          14
Anette Frank                           14
Heikki Kallasjoki                      14
Tuomas Virtanen                        14
Nicoletta Calzolari                    14
Markus Koskela                         14
Tapani Raiko                           14
Ilhan Aslan                            14
Rui Wang                               14
Antti Honkela                          14
Jort F. Gemmeke                        14
Erkki Oja                              14
Thierry Chanier                        15
Antonella De Angeli                    15
Norbert Reithinger                     15
Eric Villemonte De La Clergerie        15
Patrice Lopez                          15
David Traum                            15
Adam Kilgarriff                        15
Marc Jamoulle                          15
Andrei Popescu-Belis                   15
Dan Tufis                              16
Csaba Oravecz                          16
Jakub Waszczuk                         16
Kiril Simov                            16
Janos Csirik                           16
Jean Senellart                         16
Agnieszka Mykowiecka                   16
Jakub Piskorski                        16
Miroslav Spousta                       16
Maciej Ogrodniczuk                     16
Andras Kornai                          16
Cvetana Krstev                         16
Piroska Lendvai                        16
Mariana Damova                         17
Radoslav Pavlov                        17
Milen Kouylekov                        17
Antonio Sanfilippo                     17
Alisdair Smithies                      17
Bernardo Magnini                       17
Aleksandar Savkov                      17
Stefan Trausan-Matu                    17
Maarten De Rijke                       17
Vlad Posea                             17
Preslav Nakov                          17
Andrew J. Cowell                       18
Ted Briscoe                            18
Keith Fligg                            19

